"exp_day","treatment_group","chamber","cell_count"
11,150,14,452300
11,150,14,493550
11,150,14,448950
12,0,5,3030650
12,0,5,3136650
12,0,5,2992150
12,0,5,3246550
12,0,5,3096300
12,0,5,2991450
12,0,5,3064550
12,0,5,2934050
12,0,11,2327600
12,0,11,2426400
12,0,11,2027400
12,0,11,2340400
12,0,11,2324050
12,0,11,2384900
12,0,11,2266850
12,0,11,2156900
12,100,1,1615600
12,100,1,1583200
12,100,1,1593800
12,100,1,1588850
12,100,1,1548000
12,100,1,1566850
12,100,1,1476550
12,100,1,1458400
12,100,12,1170800
12,100,12,1153200
12,100,12,1153100
12,100,12,1160450
12,100,12,1178000
12,100,12,1126350
12,100,12,1163950
12,100,12,846250
12,150,3,652050
12,150,3,607200
12,150,3,661100
12,150,3,636400
12,150,3,598050
12,150,3,607000
12,150,3,627150
12,150,3,534600
12,150,14,528750
12,150,14,524900
12,150,14,480350
12,150,14,526550
12,150,14,447250
12,150,14,524950
12,150,14,469750
12,150,14,483400
13,0,5,2244450
13,0,5,2321350
13,0,5,2182500
13,0,5,2309350
13,0,5,2337300
13,0,5,2183150
13,0,5,2256850
13,0,5,2057350
13,0,11,1575850
13,0,11,1728200
13,0,11,1569100
13,0,11,1604500
13,0,11,1691400
13,0,11,1564850
13,0,11,1683850
13,0,11,1441400
13,100,1,1502700
13,100,1,1340650
13,100,1,1360700
13,100,1,1337600
13,100,1,1304600
13,100,1,1306000
13,100,1,1304400
13,100,1,1286250
13,100,12,1192700
13,100,12,1099500
13,100,12,1048850
13,100,12,1106250
13,100,12,1136450
13,100,12,1100900
13,100,12,1068450
13,100,12,1059800
13,150,3,677100
13,150,3,672050
13,150,3,680700
13,150,3,634700
13,150,3,595550
13,150,3,692850
13,150,3,606100
13,150,3,537950
13,150,14,495450
13,150,14,385250
13,150,14,456600
13,150,14,406500
13,150,14,452200
13,150,14,426800
13,150,14,439900
13,150,14,405400
14,0,5,2049750
14,0,5,2146550
14,0,5,2447900
14,0,5,2308200
14,0,5,2200600
14,0,5,2120350
14,0,5,2267500
14,0,5,2157200
14,0,11,1883100
14,0,11,2772600
14,0,11,1890700
14,0,11,1856900
14,0,11,1830800
14,0,11,1861450
14,0,11,1903350
14,0,11,1840300
14,100,1,1091450
14,100,1,1117000
14,100,1,1035850
14,100,1,1111350
14,100,1,1078850
14,100,1,1077900
14,100,1,1045050
14,100,1,994700
14,100,12,1063500
14,100,12,1051850
14,100,12,1014500
14,100,12,1002450
14,100,12,980600
14,100,12,978700
14,100,12,962250
14,100,12,942100
14,150,3,575000
14,150,3,590650
14,150,3,535350
14,150,3,601650
14,150,3,547700
14,150,3,578100
14,150,3,523650
14,150,3,506650
14,150,14,388200
14,150,14,418050
14,150,14,429450
14,150,14,417500
14,150,14,393000
14,150,14,402100
14,150,14,393750
14,150,14,335700
15,0,5,2738150
15,0,5,2753000
15,0,5,2551150
15,0,5,2623550
15,0,5,2520000
15,0,5,2537950
15,0,5,2661050
15,0,5,2364450
15,0,11,3057750
15,0,11,3311350
15,0,11,3073350
15,0,11,3129500
15,0,11,2885950
15,0,11,3200250
15,0,11,3028000
15,0,11,2956650
15,100,1,1448300
15,100,1,1356550
15,100,1,1340450
15,100,1,1332850
15,100,1,1325100
15,100,1,1295350
15,100,1,1251800
15,100,1,1232650
15,100,12,1147400
15,100,12,1120000
15,100,12,1105650
15,100,12,1133150
15,100,12,1029300
15,100,12,1016450
15,100,12,1026900
15,100,12,1028400
15,150,3,404150
15,150,3,407200
15,150,3,399800
15,150,3,396100
15,150,3,377350
15,150,3,383900
15,150,3,362850
15,150,3,382250
15,150,14,263500
15,150,14,252700
15,150,14,236200
15,150,14,246950
15,150,14,253100
15,150,14,265650
15,150,14,237000
15,150,14,239650
16,0,5,2304950
16,0,5,2332550
16,0,5,2315100
16,0,5,2193000
16,0,5,2199900
16,0,5,2251600
16,0,5,2209700
16,0,5,2023900
16,0,11,2317700
16,0,11,2403350
16,0,11,2259400
16,0,11,2301350
16,0,11,2145600
16,0,11,2122200
16,0,11,2333200
16,0,11,2230950
16,100,1,1025850
16,100,1,979050
16,100,1,925500
16,100,1,963450
16,100,1,922450
16,100,1,962650
16,100,1,894250
16,100,1,847750
16,100,12,799350
16,100,12,785200
16,100,12,795800
16,100,12,692000
16,100,12,742800
16,100,12,702350
16,100,12,675950
16,100,12,687200
16,150,3,377500
16,150,3,375450
16,150,3,363100
16,150,3,389350
16,150,3,360250
16,150,3,378200
16,150,3,337850
16,150,3,354350
16,150,14,195800
16,150,14,215700
16,150,14,186950
16,150,14,213150
16,150,14,198350
16,150,14,213800
16,150,14,191900
16,150,14,166300
17,0,5,2559450
17,0,5,2782400
17,0,5,2599800
17,0,5,2682400
17,0,5,2464250
17,0,5,2600550
17,0,5,2564450
17,0,5,2486500
17,0,11,2774550
17,0,11,2868700
17,0,11,2866150
17,0,11,2834950
17,0,11,2919900
17,0,11,2740100
17,0,11,2785350
17,0,11,2620600
17,100,1,921650
17,100,1,879950
17,100,1,888900
17,100,1,838900
17,100,1,884300
17,100,1,811200
17,100,1,806500
17,100,1,743450
17,100,12,787100
17,100,12,774250
17,100,12,796950
17,100,12,735650
17,100,12,734950
17,100,12,778100
17,100,12,744200
17,100,12,671750
17,150,3,344200
17,150,3,322950
17,150,3,331950
17,150,3,333600
17,150,3,321700
17,150,3,300550
17,150,3,302600
17,150,3,263700
17,150,14,155300
17,150,14,178100
17,150,14,168800
17,150,14,185700
17,150,14,178000
17,150,14,181450
17,150,14,101650
17,150,14,130500
18,0,5,2762200
18,0,5,2983850
18,0,5,2785600
18,0,5,2862950
18,0,5,2935400
18,0,5,2861800
18,0,5,2850500
18,0,5,2653650
18,0,11,2545300
18,0,11,2697000
18,0,11,2644800
18,0,11,2621500
18,0,11,2625350
18,0,11,2844800
18,0,11,2715200
18,0,11,2770700
18,100,1,581450
18,100,1,600700
18,100,1,577550
18,100,1,597150
18,100,1,569050
18,100,1,566300
18,100,1,555900
18,100,1,560500
18,100,12,672850
18,100,12,692800
18,100,12,745400
18,100,12,760600
18,100,12,705550
18,100,12,660150
18,100,12,671050
18,100,12,640950
18,150,3,276200
18,150,3,277750
18,150,3,273950
18,150,3,251550
18,150,3,275600
18,150,3,261300
18,150,3,252900
