"cell_count","exp_day","chamber","test","rpm"
2002500,10,"4","failed1.4","2.5RPM"
1415100,10,"12","failed1.4","2.5RPM"
2416200,10,"5","failed1.4","2.5RPM"
2862000,10,"13","failed1.4","2.5RPM"
908700,10,"6","failed1.4","2.5RPM"
1689900,10,"14","failed1.4","2.5RPM"
1924200,10,"7","failed1.4","2.5RPM"
2939100,10,"15","failed1.4","2.5RPM"
1109100,10,"8","failed1.4","2.5RPM"
2132100,10,"16","failed1.4","2.5RPM"
1766700,11,"9","failed1.4","2.5RPM"
1818900,11,"4","failed1.4","2.5RPM"
2334300,11,"13","failed1.4","2.5RPM"
1223100,11,"8","failed1.4","2.5RPM"
1812600,12,"9","failed1.4","2.5RPM"
1686300,12,"4","failed1.4","2.5RPM"
1709100,12,"13","failed1.4","2.5RPM"
1345800,12,"8","failed1.4","2.5RPM"
1399800,13,"9","failed1.4","2.5RPM"
1762500,13,"4","failed1.4","2.5RPM"
1325100,13,"13","failed1.4","2.5RPM"
1020600,13,"8","failed1.4","2.5RPM"
1503600,14,"9","failed1.4","2.5RPM"
1333200,14,"4","failed1.4","2.5RPM"
1700100,14,"13","failed1.4","2.5RPM"
803400,14,"8","failed1.4","2.5RPM"
1356600,16,"9","failed1.4","2.5RPM"
1475700,16,"4","failed1.4","2.5RPM"
1537200,16,"13","failed1.4","2.5RPM"
1594800,16,"8","failed1.4","2.5RPM"
1664100,17,"9","failed1.4","2.5RPM"
2162100,17,"4","failed1.4","2.5RPM"
1575000,17,"13","failed1.4","2.5RPM"
1125000,17,"8","failed1.4","2.5RPM"
939900,18,"9","failed1.4","2.5RPM"
1546200,18,"4","failed1.4","2.5RPM"
1485900,18,"13","failed1.4","2.5RPM"
975300,18,"8","failed1.4","2.5RPM"
1689900,20,"9","failed1.4","2.5RPM"
2048100,20,"4","failed1.4","2.5RPM"
1682400,20,"13","failed1.4","2.5RPM"
1307700,20,"8","failed1.4","2.5RPM"
96600,1,"1","failed1.5","2.5RPM"
279900,1,"9","failed1.5","2.5RPM"
232500,1,"2","failed1.5","2.5RPM"
173100,1,"10","failed1.5","2.5RPM"
129300,1,"3","failed1.5","2.5RPM"
105300,1,"11","failed1.5","2.5RPM"
108900,1,"4","failed1.5","2.5RPM"
132600,1,"12","failed1.5","2.5RPM"
207300,1,"5","failed1.5","2.5RPM"
142800,1,"13","failed1.5","2.5RPM"
202800,1,"6","failed1.5","2.5RPM"
160200,1,"14","failed1.5","2.5RPM"
144900,1,"7","failed1.5","2.5RPM"
254700,1,"15","failed1.5","2.5RPM"
135000,1,"8","failed1.5","2.5RPM"
226500,1,"16","failed1.5","2.5RPM"
1070400,2,"1","failed1.5","2.5RPM"
2229300,2,"9","failed1.5","2.5RPM"
2064000,2,"2","failed1.5","2.5RPM"
1526400,2,"10","failed1.5","2.5RPM"
1603500,2,"3","failed1.5","2.5RPM"
2106600,2,"11","failed1.5","2.5RPM"
2248200,2,"4","failed1.5","2.5RPM"
1876800,2,"12","failed1.5","2.5RPM"
1823400,2,"5","failed1.5","2.5RPM"
2322000,2,"13","failed1.5","2.5RPM"
1821300,2,"6","failed1.5","2.5RPM"
2189100,2,"14","failed1.5","2.5RPM"
1838400,2,"7","failed1.5","2.5RPM"
2331900,2,"15","failed1.5","2.5RPM"
770400,2,"8","failed1.5","2.5RPM"
2395200,2,"16","failed1.5","2.5RPM"
3294000,3,"1","failed1.5","2.5RPM"
2607000,3,"9","failed1.5","2.5RPM"
2721900,3,"2","failed1.5","2.5RPM"
2253600,3,"10","failed1.5","2.5RPM"
2508300,3,"3","failed1.5","2.5RPM"
